id,title,chanel,Total_Minutes,Total_Views,Duration_in_Seconds,video_url,Views_per_Second,Year,Quarter,Month,Day,Calculated_Views,Cluster,ClusterLabel,Decision Path
60,تصاویر هوایی از تشییع پیکرهای شهدای مقاومت,نامه نیوز,240,49,62,/v/ipo78u8,0.7903225806451613,2025,Qtr 1,March,7,49,0,Medium Engagement,2
61,قالیباف: با مقامات لبنانی دیدار خواهم کرد,نامه نیوز,300,30,93,/v/ygvt8on,0.3225806451612903,2025,Qtr 1,March,7,30,0,Medium Engagement,2
63,بازار ماهی شمال,بهمن گلیج,7200,2800,1067,/v/bhyy1a5,2.624179943767573,2025,Qtr 1,March,2,2800,0,Medium Engagement,2
64,گپ و گفت با بچه ها رو ریگ فلور دکل حفاری نفتی️,بهمن گلیج,10080,1400,853,/v/pho2456,1.64126611957796,2025,Qtr 1,February,28,1400,0,Medium Engagement,2
65,تاریخچه ی پیدایش نفت️,بهمن گلیج,20160,3300,311,/v/ymui7r5,10.610932475884244,2025,Qtr 1,February,21,3300,0,Medium Engagement,2
66,دقایقی پیش از رفتن به خونه,بهمن گلیج,30240,1700,821,/v/kyq0t3a,2.0706455542021924,2025,Qtr 1,February,14,1700,0,Medium Engagement,2
67,گفت و گو با محمدقوچانی در رابطه با سینمای حاتمی کیا,کافه آپارات,7200,4100,3285,/v/hos8q3e,1.248097412480974,2025,Qtr 1,March,2,4100,0,Medium Engagement,2
68,گفت و گو با داریوش کاردان بازیگر فیلم خدای جنگ,کافه آپارات,10080,2500,1104,/v/ywffl4l,2.2644927536231885,2025,Qtr 1,February,28,2500,0,Medium Engagement,2
69,گفت و گو با اکتای براهنی کارگردان فیلم پیرپسر,کافه آپارات,10080,3400,1099,/v/ykqs2rl,3.0937215650591448,2025,Qtr 1,February,28,3400,0,Medium Engagement,2
70,گفت و گو با امیر نوروزی، پادینا کیانی و امیر احمد قزوینی بازیگران فیلم 1968,کافه آپارات,10080,1600,1214,/v/mba3xit,1.317957166392092,2025,Qtr 1,February,28,1600,0,Medium Engagement,2
71,اختتامیه چهل و سومین جشنواره فیلم فجر,کافه آپارات,10080,1700,13654,/v/cgv53kf,0.1245056393730774,2025,Qtr 1,February,28,1700,1,High Engagement,3
72,سفری در میانه کوهستان سرد ( مراغه هشترود),جستجوی ناتمام ( از میلانی ),20160,1700,734,/v/jqf08c6,2.316076294277929,2025,Qtr 1,February,21,1700,0,Medium Engagement,2
73,نادیده ها و ناگفته هایی از زلزله بم,جستجوی ناتمام ( از میلانی ),43200,17100,1875,/v/jotknmy,9.12,2025,Qtr 1,February,5,17100,0,Medium Engagement,2
74,نگاهی به کوچه ها و محله های تفلیس  (قسمت 9 از سفرنامه « دامنه کوه های قفقاز »),جستجوی ناتمام ( از میلانی ),86400,607,1205,/v/etp410b,0.5037344398340249,2025,Qtr 1,January,6,607,0,Medium Engagement,2
75,با دوچرخه در میان تاریخ شهر تفلیس  (قسمت 8  از سفرنامه « دامنه کوه های قفقاز »),جستجوی ناتمام ( از میلانی ),86400,1700,818,/v/bqw2alx,2.078239608801956,2025,Qtr 1,January,6,1700,0,Medium Engagement,2
